timestamp,component,delay
2000-01-01 00:00:00,A,30.747805495795419
2000-01-01 00:00:00,B,47.534479474520005
2000-01-01 00:00:01,A,25.658090823972096
2000-01-01 00:00:01,B,39.619667189198381
2000-01-01 00:00:02,A,22.387077584727813
2000-01-01 00:00:02,B,41.146325667355164
2000-01-01 00:00:03,A,28.483920464720782
2000-01-01 00:00:03,B,42.18161455090523
2000-01-01 00:00:04,A,36.288805773106134
2000-01-01 00:00:04,B,47.313676797406174
2000-01-01 00:00:05,A,22.730882229536178
2000-01-01 00:00:05,B,42.977293510027678
2000-01-01 00:00:06,A,34.259305067236248
2000-01-01 00:00:06,B,7.9776052614222577
2000-01-01 00:00:07,A,30.854697048736625
2000-01-01 00:00:07,B,33.138431607976095
2000-01-01 00:00:08,A,26.669691452909557
2000-01-01 00:00:08,B,37.211709183107601
2000-01-01 00:00:09,A,27.137410527925244
2000-01-01 00:00:09,B,37.738712712887633
2000-01-01 00:00:10,A,28.670166483130753
2000-01-01 00:00:10,B,33.261701824499227
2000-01-01 00:00:11,A,22.82921946149683
2000-01-01 00:00:11,B,39.715632622078978
2000-01-01 00:00:12,A,35.434356695317526
2000-01-01 00:00:12,B,53.114328101445807
2000-01-01 00:00:13,A,24.048372261299182
2000-01-01 00:00:13,B,38.528950258605114
2000-01-01 00:00:14,A,19.49452319361999
2000-01-01 00:00:14,B,50.670293009522929
2000-01-01 00:00:15,A,17.059564209999898
2000-01-01 00:00:15,B,41.578660572942539
2000-01-01 00:00:16,A,27.691545743921267
2000-01-01 00:00:16,B,46.83780338469461
2000-01-01 00:00:17,A,27.439330871231604
2000-01-01 00:00:17,B,48.955035262192638
2000-01-01 00:00:18,A,23.595998126806766
2000-01-01 00:00:18,B,31.981268095023456
2000-01-01 00:00:19,A,28.122802439535558
2000-01-01 00:00:19,B,37.469795990396669
2000-01-01 00:00:20,A,26.415988986559032
2000-01-01 00:00:20,B,48.558849603353593
2000-01-01 00:00:21,A,28.870599185601534
2000-01-01 00:00:21,B,42.506679561187354
2000-01-01 00:00:22,A,21.612668500349599
2000-01-01 00:00:22,B,42.430136575716823
2000-01-01 00:00:23,A,31.518690383281374
2000-01-01 00:00:23,B,36.784422230261065
2000-01-01 00:00:24,A,34.333480831853848
2000-01-01 00:00:24,B,44.35040887627607
2000-01-01 00:00:25,A,32.116350096237667
2000-01-01 00:00:25,B,22.667500013567121
2000-01-01 00:00:26,A,17.079294800837811
2000-01-01 00:00:26,B,35.182863454973671
2000-01-01 00:00:27,A,18.577764258703709
2000-01-01 00:00:27,B,40.100007576036944
2000-01-01 00:00:28,A,24.919660123610871
2000-01-01 00:00:28,B,37.588553044118783
2000-01-01 00:00:29,A,31.289824796035546
2000-01-01 00:00:29,B,46.595961737557801
2000-01-01 00:00:30,A,17.420048939723543
2000-01-01 00:00:30,B,43.69471674785769
2000-01-01 00:00:31,A,27.544267326354493
2000-01-01 00:00:31,B,45.77417806203114
2000-01-01 00:00:32,A,22.847804438423175
2000-01-01 00:00:32,B,50.418582210623327
2000-01-01 00:00:33,A,24.460264098472077
2000-01-01 00:00:33,B,31.326173070228467
2000-01-01 00:00:34,A,28.750897306552201
2000-01-01 00:00:34,B,32.459807968599051
2000-01-01 00:00:35,A,11.935842602076521
2000-01-01 00:00:35,B,28.140248634778757
2000-01-01 00:00:36,A,18.183245855751373
2000-01-01 00:00:36,B,39.849658737351383
2000-01-01 00:00:37,A,18.401015364432816
2000-01-01 00:00:37,B,49.986844671862656
2000-01-01 00:00:38,A,18.080799056255533
2000-01-01 00:00:38,B,32.275914467947828
2000-01-01 00:00:39,A,23.249211197539669
2000-01-01 00:00:39,B,24.523841688594811
2000-01-01 00:00:40,A,26.490946752158859
2000-01-01 00:00:40,B,38.998289941287752
2000-01-01 00:00:41,A,27.13662991194969
2000-01-01 00:00:41,B,42.764972133780681
2000-01-01 00:00:42,A,26.977418090107626
